EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
2,5,Le Plateau-Mont-Royal,,Columnare Norway Maple,2004-06-16T00:00:00,PRINCE-ARTHUR,299130.596,5041570.5,-73.572563,45.514031
51,5,Le Plateau-Mont-Royal,,Maidenhair Tree,2017-09-01T00:00:00,PRINCE-ARTHUR,299243.446,5041740.863,-73.571121,45.515565
58,5,Le Plateau-Mont-Royal,,Western Catalpa,2024-06-04T00:00:00,PRINCE-ARTHUR,299187.015,5041650.886,-73.571842,45.514755
259,5,Le Plateau-Mont-Royal,,Swamp White Oak,2011-05-20T00:00:00,BALDWIN,299932.747,5043858.5,-73.562319,45.534625
308,5,Le Plateau-Mont-Royal,,Ohio Buckeye,2004-10-19T00:00:00,URBAIN-GRAVELINE,299641.669,5042477.5,-73.566031,45.522197
309,5,Le Plateau-Mont-Royal,,Ohio Buckeye,2004-10-19T00:00:00,URBAIN-GRAVELINE,299662.196,5042475.5,-73.565768,45.522179
310,5,Le Plateau-Mont-Royal,,Ohio Buckeye,2004-10-19T00:00:00,URBAIN-GRAVELINE,299651.552,5042458.5,-73.565905,45.522026
311,5,Le Plateau-Mont-Royal,,Ohio Buckeye,2004-10-19T00:00:00,URBAIN-GRAVELINE,299659.506,5042439.5,-73.565803,45.521855
312,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-10T00:00:00,URBAIN-GRAVELINE,299619.447,5042457.5,-73.566316,45.522016
313,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299623.775,5042463,-73.56626,45.522066
314,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299627.342,5042469.5,-73.566215,45.522124
315,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299631.201,5042475,-73.566165,45.522174
316,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299634.944,5042481,-73.566117,45.522228
317,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299638.57,5042487,-73.566071,45.522282
318,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299646.046,5042498.5,-73.565975,45.522386
319,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299649.856,5042503.5,-73.565927,45.522431
320,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299652.605,5042420.5,-73.565891,45.521684
321,5,Le Plateau-Mont-Royal,,Dolgo Crab Apple,2004-10-19T00:00:00,URBAIN-GRAVELINE,299647.634,5042425,-73.565954,45.521724
346,5,Le Plateau-Mont-Royal,,Skyline Honey-Locust,2004-05-16T00:00:00,ALBERT-SAINT-MARTIN,298298.453,5042881.5,-73.583231,45.525821
347,5,Le Plateau-Mont-Royal,,Skyline Honey-Locust,2004-05-16T00:00:00,ALBERT-SAINT-MARTIN,298315.922,5042870,-73.583007,45.525717
348,5,Le Plateau-Mont-Royal,,Ivory Silk Japanese Tree Lilac,2004-10-06T00:00:00,ALBERT-SAINT-MARTIN,298300.675,5042870,-73.583202,45.525717
349,5,Le Plateau-Mont-Royal,,Common Hackberry,2004-05-16T00:00:00,ALBERT-SAINT-MARTIN,298310.266,5042849.5,-73.583079,45.525533
350,5,Le Plateau-Mont-Royal,,Rosthern Crab Apple,2024-06-11T00:00:00,ALBERT-SAINT-MARTIN,298291.494,5042865,-73.58332,45.525672
351,5,Le Plateau-Mont-Royal,,Common Hackberry,2004-05-16T00:00:00,ALBERT-SAINT-MARTIN,298288.161,5042865,-73.583363,45.525672
352,5,Le Plateau-Mont-Royal,,Rinki Plum-leaved Crab Apple,2013-10-08T00:00:00,ALBERT-SAINT-MARTIN,298284.243,5042870,-73.583413,45.525717
353,5,Le Plateau-Mont-Royal,,Indian Magic Crab Apple,2024-06-11T00:00:00,ALBERT-SAINT-MARTIN,298279.33,5042873.5,-73.583476,45.525749
354,5,Le Plateau-Mont-Royal,,Tower Poplar,2005-05-11T00:00:00,DEVONSHIRE,298812.201,5041674.5,-73.576639,45.514964
355,5,Le Plateau-Mont-Royal,,Tower Poplar,2005-05-11T00:00:00,DEVONSHIRE,298810.655,5041672,-73.576659,45.514942
356,5,Le Plateau-Mont-Royal,,Tower Poplar,2005-05-11T00:00:00,DEVONSHIRE,298809.215,5041669.5,-73.576678,45.514919
357,5,Le Plateau-Mont-Royal,,Tower Poplar,2005-05-11T00:00:00,DEVONSHIRE,298807.37,5041666.5,-73.576701,45.514892
358,5,Le Plateau-Mont-Royal,,Tower Poplar,2005-05-11T00:00:00,DEVONSHIRE,298806,5041663.907,-73.576719,45.514869
359,5,Le Plateau-Mont-Royal,,Tower Poplar,2005-05-11T00:00:00,DEVONSHIRE,298804.079,5041661.5,-73.576743,45.514847
360,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2004-09-15T00:00:00,DEVONSHIRE,298814.166,5041649,-73.576614,45.514735
361,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2004-09-15T00:00:00,DEVONSHIRE,298809.845,5041652,-73.576669,45.514762
362,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2004-09-15T00:00:00,DEVONSHIRE,298805.615,5041654.5,-73.576723,45.514784
363,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2004-09-15T00:00:00,DEVONSHIRE,298808.585,5041659,-73.576685,45.514825
364,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2005-06-02T00:00:00,DEVONSHIRE,298812.725,5041656.5,-73.576632,45.514802
365,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2005-10-17T00:00:00,DEVONSHIRE,298816.911,5041653.5,-73.576579,45.514775
366,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2004-09-15T00:00:00,DEVONSHIRE,298823.842,5041664.5,-73.57649,45.514874
367,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2004-09-15T00:00:00,DEVONSHIRE,298819.476,5041667,-73.576546,45.514897
368,5,Le Plateau-Mont-Royal,,Ronald Littleleaf Linden,2004-09-15T00:00:00,DEVONSHIRE,298815.246,5041670,-73.5766,45.514924
369,5,Le Plateau-Mont-Royal,,Sugar Maple,2005-06-29T00:00:00,DEVONSHIRE,298842.714,5041637,-73.576248,45.514627
370,5,Le Plateau-Mont-Royal,,Sugar Maple,2005-06-29T00:00:00,DEVONSHIRE,298851.834,5041651.5,-73.576132,45.514758
