EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
52,8,Le Sud-Ouest,,Fastigiate English Oak,2006-06-05T00:00:00,"ÉCLUSIERS, DES",299241.68,5038146,-73.571102,45.483217
53,8,Le Sud-Ouest,,Fastigiate English Oak,2006-06-05T00:00:00,"ÉCLUSIERS, DES",299244.709,5038142.5,-73.571064,45.483185
54,8,Le Sud-Ouest,,Fastigiate English Oak,2006-06-05T00:00:00,"ÉCLUSIERS, DES",299247.856,5038138.5,-73.571023,45.483149
55,8,Le Sud-Ouest,,Fastigiate English Oak,2006-06-05T00:00:00,"ÉCLUSIERS, DES",299250.749,5038135,-73.570986,45.483118
56,8,Le Sud-Ouest,,Makamik Crab Apple,2007-06-07T00:00:00,PLACE DU MARCHÉ SUD,298816.27,5037614.5,-73.576538,45.478431
122,8,Le Sud-Ouest,,Maidenhair Tree,2004-09-16T00:00:00,VINET,298908.981,5038192.744,-73.575359,45.483635
123,8,Le Sud-Ouest,,Maidenhair Tree,2004-09-16T00:00:00,VINET,298921.21,5038203.238,-73.575203,45.483729
124,8,Le Sud-Ouest,,Maidenhair Tree,2004-09-16T00:00:00,VINET,298925.5,5038207.018,-73.575148,45.483763
125,8,Le Sud-Ouest,,Maidenhair Tree,2006-06-29T00:00:00,VINET,298907.071,5038194.871,-73.575383,45.483654
126,8,Le Sud-Ouest,,Maidenhair Tree,2008-06-25T00:00:00,VINET,298919.195,5038205.451,-73.575228,45.483749
127,8,Le Sud-Ouest,,Maidenhair Tree,2005-10-20T00:00:00,VINET,298923.718,5038208.909,-73.575171,45.48378
128,8,Le Sud-Ouest,,Maidenhair Tree,2008-06-25T00:00:00,VINET,298904.473,5038197.908,-73.575417,45.483681
129,8,Le Sud-Ouest,,Maidenhair Tree,2005-10-20T00:00:00,VINET,298916.479,5038208.423,-73.575263,45.483776
130,8,Le Sud-Ouest,,Maidenhair Tree,2004-09-16T00:00:00,VINET,298921.019,5038212.273,-73.575205,45.483811
131,8,Le Sud-Ouest,,Downy Serviceberry,2015-10-05T00:00:00,VINET,298940.557,5038197.5,-73.574955,45.483678
132,8,Le Sud-Ouest,,Ivory Silk Japanese Tree Lilac,2011-10-02T00:00:00,VINET,298942.357,5038195,-73.574932,45.483655
133,8,Le Sud-Ouest,,Ivory Silk Japanese Tree Lilac,2011-10-02T00:00:00,VINET,298944.897,5038192,-73.574899,45.483628
134,8,Le Sud-Ouest,,Downy Serviceberry,2015-10-05T00:00:00,VINET,298947.119,5038189.5,-73.574871,45.483606
210,8,Le Sud-Ouest,,Ronald Littleleaf Linden,2004-10-07T00:00:00,GÉDÉON-DE CATALOGNE,298259.317,5036876.879,-73.583652,45.471788
211,8,Le Sud-Ouest,,Red Oak,2022-06-07T00:00:00,GÉDÉON-DE CATALOGNE,298270.624,5036927.915,-73.583508,45.472248
212,8,Le Sud-Ouest,,Deborah Norway Maple,2004-10-07T00:00:00,GÉDÉON-DE CATALOGNE,298331.229,5036899.105,-73.582733,45.471989
213,8,Le Sud-Ouest,,Deborah Norway Maple,2008-06-11T00:00:00,GÉDÉON-DE CATALOGNE,298336.357,5036895.654,-73.582667,45.471958
214,8,Le Sud-Ouest,,Deborah Norway Maple,2004-10-07T00:00:00,GÉDÉON-DE CATALOGNE,298312.764,5036850,-73.582968,45.471547
215,8,Le Sud-Ouest,,Acer x freemanii 'Autumn Fantasy',2024-07-02T00:00:00,"ATWATER, MARCHÉ PUBLIC",298710.041,5037831.491,-73.577899,45.480382
