EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
32410,25,Pierrefonds - Roxboro,,Eastern Cottonwood,2007-12-31T00:00:00,OLYMPIA (S1),284164.22,5040552.36,-73.764074,45.504587
32411,25,Pierrefonds - Roxboro,,Golden Weeping Willow,2007-12-31T00:00:00,OLYMPIA (S1),284145.99,5040544.61,-73.764307,45.504517
32412,25,Pierrefonds - Roxboro,,Norway Maple,2007-12-31T00:00:00,OLYMPIA (S1),284132.9,5040563.36,-73.764475,45.504685
32413,25,Pierrefonds - Roxboro,,Crab Apple,2007-12-31T00:00:00,OLYMPIA (S1),284128.965,5040554.638,-73.764525,45.504607
32414,25,Pierrefonds - Roxboro,,Eastern Cottonwood,,OLYMPIA (S1),284118.326,5040533.132,-73.764661,45.504413
32421,25,Pierrefonds - Roxboro,,Norway Spruce,2007-12-31T00:00:00,OLYMPIA (S1),283971.64,5040494.42,-73.766536,45.50406
32422,25,Pierrefonds - Roxboro,,Silver Maple,2007-12-31T00:00:00,OLYMPIA (S1),283969.46,5040495.55,-73.766564,45.50407
32423,25,Pierrefonds - Roxboro,,Norway Spruce,2007-12-31T00:00:00,OLYMPIA (S1),283961.87,5040489.79,-73.766661,45.504018
32424,25,Pierrefonds - Roxboro,,Norway Spruce,2007-12-31T00:00:00,OLYMPIA (S1),283960.14,5040489.03,-73.766683,45.504011
32425,25,Pierrefonds - Roxboro,,Norway Maple,2007-12-31T00:00:00,OLYMPIA (S1),283950.455,5040486.119,-73.766807,45.503985
32426,25,Pierrefonds - Roxboro,,Norway Maple,2007-12-31T00:00:00,OLYMPIA (S1),283930.861,5040486.161,-73.767058,45.503985
32429,25,Pierrefonds - Roxboro,,Crab Apple,2007-12-31T00:00:00,OLYMPIA (S1),283898.55,5040495.92,-73.767471,45.504071
32431,25,Pierrefonds - Roxboro,,Norway Maple,2007-12-31T00:00:00,OLYMPIA (S1),283870.465,5040475.441,-73.76783,45.503886
32432,25,Pierrefonds - Roxboro,,Norway Maple,2007-12-31T00:00:00,OLYMPIA (S1),283853.463,5040473.6,-73.768047,45.503869
32434,25,Pierrefonds - Roxboro,,Colorado Spruce,2007-12-31T00:00:00,OLYMPIA (S1),283865.36,5040506.73,-73.767897,45.504168
32435,25,Pierrefonds - Roxboro,,White Spruce,2007-12-31T00:00:00,OLYMPIA (S1),283869.69,5040506.01,-73.767841,45.504161
32439,25,Pierrefonds - Roxboro,,Silver Maple,2007-12-31T00:00:00,OLYMPIA (S1),283925.318,5040537.03,-73.767131,45.504442
32440,25,Pierrefonds - Roxboro,,Silver Maple,2007-12-31T00:00:00,OLYMPIA (S1),283939.24,5040525.39,-73.766952,45.504338
32441,25,Pierrefonds - Roxboro,,Silver Maple,2007-12-31T00:00:00,OLYMPIA (S1),283944.37,5040522.7,-73.766886,45.504314
32442,25,Pierrefonds - Roxboro,,Silver Maple,2007-12-31T00:00:00,OLYMPIA (S1),283953.25,5040514.35,-73.766772,45.504239
32444,25,Pierrefonds - Roxboro,,Norway Maple,2007-12-31T00:00:00,OLYMPIA (S1),283824.736,5040447.531,-73.768414,45.503634
32445,25,Pierrefonds - Roxboro,,Ivory Silk Japanese Tree Lilac,2016-01-12T00:00:00,OLYMPIA (S1),283821.396,5040447.06,-73.768457,45.503629
32446,25,Pierrefonds - Roxboro,,Norway Maple,,OLYMPIA (S1),283806.554,5040444.385,-73.768646,45.503605
32447,25,Pierrefonds - Roxboro,,Sugar Maple,2007-12-31T00:00:00,OLYMPIA (S1),283791.69,5040476.96,-73.768838,45.503898
32448,25,Pierrefonds - Roxboro,,Eastern Black Walnut,2023-09-25T00:00:00,OLYMPIA (S1),283792.15,5040467.86,-73.768832,45.503816
32449,25,Pierrefonds - Roxboro,,Robin Hill Serviceberry,2023-09-25T00:00:00,OLYMPIA (S1),283776.597,5040462.941,-73.769031,45.503771
32450,25,Pierrefonds - Roxboro,,Tamarack,2023-09-25T00:00:00,OLYMPIA (S1),283780.55,5040450.58,-73.768979,45.50366
32452,25,Pierrefonds - Roxboro,,Norway Maple,,OLYMPIA (S1),283751.552,5040444.78,-73.76935,45.503607
32453,25,Pierrefonds - Roxboro,,Red Ash,,OLYMPIA (S1),283750.324,5040453.346,-73.769366,45.503684
