EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
54434,16,Verdun,,Norway Maple,,DE LA FONTAINE,301347.083,5036046.76,-73.544155,45.46434
54435,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301338.812,5036050.568,-73.544261,45.464375
54436,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301327.718,5036057.728,-73.544403,45.464439
54437,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301322.59,5036059.45,-73.544468,45.464455
54438,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301323.872,5036055.375,-73.544452,45.464418
54439,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301316.899,5036048.363,-73.544541,45.464355
54440,16,Verdun,,Red Ash,,DE LA FONTAINE,301285.238,5035983.946,-73.544946,45.463775
54442,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301278.996,5035964.323,-73.545025,45.463598
54443,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301280.61,5035963.516,-73.545005,45.463591
54444,16,Verdun,,Red Ash,,DE LA FONTAINE,301277.275,5035955.338,-73.545047,45.463517
54445,16,Verdun,,Red Ash,,DE LA FONTAINE,301272.188,5035942.356,-73.545112,45.463401
54446,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301274.824,5035938.4,-73.545078,45.463365
54447,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301271.792,5035935.133,-73.545117,45.463336
54448,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301270.476,5035932.156,-73.545134,45.463309
54449,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301274.44,5035929.598,-73.545083,45.463286
54450,16,Verdun,,Crab Apple,,DE LA FONTAINE,301279.851,5035927.281,-73.545014,45.463265
54451,16,Verdun,,Crab Apple,,DE LA FONTAINE,301304.643,5035920.686,-73.544697,45.463206
54452,16,Verdun,,Crab Apple,,DE LA FONTAINE,301315.899,5035918.058,-73.544553,45.463182
54453,16,Verdun,,Robinson Crab Apple,2021-10-20T00:00:00,DE LA FONTAINE,301322.43,5035918.319,-73.54447,45.463185
54454,16,Verdun,,Crab Apple,,DE LA FONTAINE,301323.844,5035926.642,-73.544452,45.463259
54455,16,Verdun,,Norway Maple,,DE LA FONTAINE,301340.953,5035996.898,-73.544233,45.463892
54456,16,Verdun,,Norway Maple,,DE LA FONTAINE,301343.749,5035993.764,-73.544197,45.463864
54458,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301361.38,5035984.35,-73.543972,45.463779
54459,16,Verdun,,Common Honey-Locust,,DE LA FONTAINE,301352.531,5035980.297,-73.544085,45.463742
54460,16,Verdun,,Littleleaf European Linden,,DE LA FONTAINE,301357.8,5035979.175,-73.544018,45.463732
54461,16,Verdun,,Littleleaf European Linden,,DE LA FONTAINE,301364.222,5035977.344,-73.543936,45.463716
54462,16,Verdun,,Littleleaf European Linden,,DE LA FONTAINE,301368.483,5035976.602,-73.543881,45.463709
54463,16,Verdun,,Common Honey-Locust,,DE LA FONTAINE,301373.573,5035974.87,-73.543816,45.463694
54464,16,Verdun,,Littleleaf European Linden,,DE LA FONTAINE,301379.461,5035974.039,-73.543741,45.463686
54465,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301406.217,5035967.68,-73.543398,45.463629
54466,16,Verdun,,Sugar Maple,,DE LA FONTAINE,301399.104,5035967.508,-73.543489,45.463628
54467,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301392.579,5035967.881,-73.543573,45.463631
54468,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301389.425,5035967.622,-73.543613,45.463629
54469,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301390.62,5035966.512,-73.543598,45.463619
54470,16,Verdun,,Littleleaf European Linden,,DE LA FONTAINE,301390.56,5035964.012,-73.543599,45.463596
54471,16,Verdun,,Littleleaf European Linden,,DE LA FONTAINE,301387.963,5035963.541,-73.543632,45.463592
54472,16,Verdun,,Littleleaf European Linden,,DE LA FONTAINE,301388.263,5035956.006,-73.543628,45.463524
54473,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301386.17,5035956.193,-73.543655,45.463526
54474,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301385.216,5035951.943,-73.543667,45.463487
54475,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301384.636,5035950.747,-73.543674,45.463477
54476,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301384.271,5035945.881,-73.543679,45.463433
54477,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301382.502,5035943.083,-73.543702,45.463408
54478,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301382.789,5035935.407,-73.543698,45.463339
54479,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301377.628,5035933.119,-73.543764,45.463318
54480,16,Verdun,,Colorado Spruce,,DE LA FONTAINE,301376.321,5035932.076,-73.543781,45.463309
54482,16,Verdun,,Norway Maple,,DE LA FONTAINE,301370.936,5035926.791,-73.543849,45.463261
