EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
497,6,Ville-Marie,,Centurion® Crab Apple,2025-10-01T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301190.8,5042808.998,-73.546203,45.525189
498,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-22T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301202.094,5042788.712,-73.546059,45.525007
499,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301204.021,5042794.278,-73.546034,45.525057
500,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301205.841,5042799.256,-73.546011,45.525102
501,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301206.63,5042804.408,-73.546001,45.525148
502,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301208.182,5042808.583,-73.545981,45.525186
503,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301209.681,5042812.705,-73.545962,45.525223
504,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301211.001,5042816.365,-73.545945,45.525256
505,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301210.71,5042820.492,-73.545949,45.525293
506,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301212.958,5042829.753,-73.54592,45.525376
507,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301213.567,5042835.15,-73.545912,45.525425
508,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301214.308,5042839.886,-73.545903,45.525467
511,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301214.572,5042859.466,-73.545899,45.525644
512,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301214.784,5042865.101,-73.545897,45.525694
513,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301214.943,5042870.631,-73.545895,45.525744
514,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301216.663,5042876.267,-73.545873,45.525795
515,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301217.827,5042880.05,-73.545858,45.525829
516,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301219.811,5042883.94,-73.545833,45.525864
517,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301223.039,5042888.517,-73.545791,45.525905
518,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301224.838,5042891.983,-73.545768,45.525936
519,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301226.955,5042895.872,-73.545741,45.525971
520,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301225.367,5042889.681,-73.545762,45.525915
521,6,Ville-Marie,,Shademaster Honey-Locust,2005-04-26T00:00:00,"VILLE-MARIE, BOULEVARD (ARR. 4,6)",301224.23,5042884.098,-73.545776,45.525865
